"Country","Quarter","TotalSales"
"Australia","1","759.72"
"Australia","2","1340.6399999999999"
"Australia","3","908.3399999999999"
"Australia","4","2100.12"
"Austria","1","503.4"
"Austria","2","86.8"
"Austria","3","184.84"
"Austria","4","587"
"Bahrain","2","43.2"
"Belgium","1","731.55"
"Belgium","2","871.11"
"Belgium","3","1247.86"
"Belgium","4","1861.56"
"Brazil","2","19.799999999999997"
"Canada","1","10.2"
"Canada","2","547.44"
"Canada","3","562.62"
"Channel Islands","1","369.22"
"Channel Islands","2","359.4"
"Channel Islands","3","464.5"
"Channel Islands","4","503.7"
"Cyprus","1","586.49"
"Cyprus","2","489.5"
"Cyprus","3","395.95"
"Cyprus","4","242.29999999999998"
"Czech Republic","1","39.6"
"Czech Republic","4","40"
"Denmark","1","188.64000000000001"
"Denmark","2","233.75"
"Denmark","3","265.5"
"Denmark","4","354"
"EIRE","1","5952.87"
"EIRE","2","2302.15"
"EIRE","3","6695.41"
"EIRE","4","4842.76"
"European Community","2","106.5"
"European Community","3","60"
"Finland","1","1310.77"
"Finland","2","257.34"
"Finland","3","684.7"
"Finland","4","1285.45"
"France","1","4314.19"
"France","2","4764.13"
"France","3","4102.92"
"France","4","13930.150000000001"
"Germany","1","4526.35"
"Germany","2","4822.29"
"Germany","3","5230.79"
"Germany","4","8832.15"
"Greece","1","178.56"
"Greece","2","100"
"Greece","3","100"
"Greece","4","12.600000000000001"
"Iceland","1","35.400000000000006"
"Iceland","2","32"
"Iceland","3","97.80000000000001"
"Iceland","4","20.1"
"Israel","1","8.5"
"Israel","3","165"
"Israel","4","20.25"
"Italy","1","295.6"
"Italy","2","182.16"
"Italy","3","296"
"Italy","4","1319.2"
"Japan","1","157.82"
"Japan","2","774.9"
"Japan","3","135.48"
"Japan","4","5508.36"
"Lebanon","1","35.400000000000006"
"Malta","2","190"
"Malta","3","57.199999999999996"
"Malta","4","25.44"
"Netherlands","1","1775.68"
"Netherlands","2","3958"
"Netherlands","3","1879.19"
"Netherlands","4","9603.35"
"Norway","1","292.65"
"Norway","2","894.1"
"Norway","3","1000.5"
"Norway","4","1389.95"
"Poland","1","100.5"
"Poland","2","236"
"Poland","3","190.65"
"Poland","4","20.1"
"Portugal","1","19535.94"
"Portugal","2","22321.68"
"Portugal","3","35295.38"
"Portugal","4","34328.19"
"RSA","4","15.6"
"Saudi Arabia","1","17.4"
"Singapore","1","53.1"
"Singapore","2","3351.0200000000004"
"Singapore","3","149.4"
"Singapore","4","2163.74"
"Spain","1","2260.21"
"Spain","2","1362.32"
"Spain","3","2043.23"
"Spain","4","3062.63"
"Sweden","1","530"
"Sweden","2","332.5"
"Sweden","3","1331.5"
"Sweden","4","2014.46"
"Switzerland","1","861.2"
"Switzerland","2","847.7"
"Switzerland","3","1304.44"
"Switzerland","4","1027.2"
"USA","2","19.8"
"USA","4","61.64"
"United Arab Emirates","1","19.799999999999997"
"United Arab Emirates","3","190.5"
"United Kingdom","1","235698.7"
"United Kingdom","2","243556.08000000002"
"United Kingdom","3","219754.552"
"United Kingdom","4","436163.2"
"Unspecified","2","57.5"
"Unspecified","3","105.41"